"","Origin","Weather","Security","LateAircraft"
"23308","LAX",0,0,16
"23309","LAX",0,0,29
"23310","LAX",0,0,142
"23311","LAX",0,0,21
"23312","LAX",0,0,25
"23313","LAX",0,0,15
"23319","LAX",0,0,35
"23322","LAX",0,0,18
"23324","LAX",0,0,31
"23325","LAX",0,0,6
"23326","LAX",0,0,0
"23327","LAX",0,0,8
"23328","LAX",0,0,17
"23329","LAX",0,0,53
"23330","LAX",0,0,13
"23331","LAX",0,0,73
"23334","LAX",0,0,49
"23335","LAX",0,0,10
"23336","LAX",0,0,23
"23339","LAX",0,0,13
"23340","LAX",0,0,15
"23342","LAX",0,0,73
"23343","LAX",0,0,160
"23344","LAX",0,0,0
"23346","LAX",0,0,16
"23347","LAX",0,0,147
"23348","LAX",0,0,22
"23349","LAX",0,0,27
"23350","LAX",0,0,16
"23351","LAX",0,0,18
"23352","LAX",0,0,8
"23353","LAX",0,0,40
"23354","LAX",0,0,41
"23355","LAX",0,0,25
"23356","LAX",0,0,19
"23357","LAX",0,0,10
"23358","LAX",0,0,15
"23359","LAX",0,0,24
"23360","LAX",0,0,24
"23361","LAX",0,0,30
"23362","LAX",5,0,21
"23363","LAX",0,0,35
"23364","LAX",0,0,16
"23365","LAX",0,0,16
"23366","LAX",0,0,33
"23367","LAX",0,0,21
"23369","LAX",0,0,25
"23370","LAX",0,0,25
"23372","LAX",0,0,16
"23373","LAX",0,0,29
"23374","LAX",0,0,17
"23375","LAX",0,0,21
"23377","LAX",0,0,5
"23379","LAX",0,0,42
"23380","LAX",0,0,5
"23381","LAX",0,0,61
"23382","LAX",0,0,30
"24396","LAX",0,0,25
"24397","LAX",0,0,40
"24398","LAX",0,0,16
"24399","LAX",0,0,48
"24402","LAX",0,0,16
"24404","LAX",0,0,16
"24405","LAX",0,0,16
"24407","LAX",0,0,25
"24408","LAX",0,0,33
"24409","LAX",0,0,11
"24410","LAX",0,0,45
"24414","LAX",0,0,19
"24415","LAX",0,0,18
"24417","LAX",0,0,19
"24419","LAX",0,0,12
"24420","LAX",0,0,27
"24421","LAX",0,0,28
"24422","LAX",0,0,18
"24423","LAX",0,0,13
"24427","LAX",0,0,13
"25447","LAX",0,0,39
"25449","LAX",0,0,153
"25451","LAX",7,0,36
"25453","LAX",0,0,31
"25454","LAX",0,0,18
"25455","LAX",0,0,168
"25456","LAX",0,0,12
"25457","LAX",0,0,28
"25458","LAX",92,0,173
"25459","LAX",0,0,11
"25460","LAX",0,0,117
"25461","LAX",0,0,124
"25462","LAX",146,0,30
"25463","LAX",0,0,0
"25464","LAX",0,0,36
"25465","LAX",163,0,0
"25466","LAX",0,0,17
"25467","LAX",0,0,97
"25468","LAX",0,0,16
"25469","LAX",0,0,163
"25470","LAX",0,0,27
"25473","LAX",0,0,64
"25474","LAX",0,0,48
"25475","LAX",0,0,11
"25476","LAX",0,11,33
"25477","LAX",0,0,7
"25478","LAX",0,0,95
"25479","LAX",0,0,31
"25480","LAX",0,0,49
"25481","LAX",0,0,20
"25482","LAX",0,0,14
"25483","LAX",0,0,29
"25484","LAX",0,0,37
"25485","LAX",0,0,63
"25486","LAX",2,0,18
"25487","LAX",0,0,5
"25488","LAX",0,0,19
"25489","LAX",0,0,22
"25490","LAX",0,0,148
"25491","LAX",0,0,213
"25492","LAX",0,0,34
"25493","LAX",0,0,3
"25494","LAX",0,0,344
"25495","LAX",0,0,161
"25496","LAX",0,0,112
"25497","LAX",0,0,134
"25498","LAX",0,0,19
"25499","LAX",0,0,53
"25500","LAX",0,0,149
"25501","LAX",0,0,21
"25502","LAX",0,0,148
"25503","LAX",0,0,7
"25504","LAX",0,0,41
"25505","LAX",0,0,16
"25506","LAX",91,0,1
"25507","LAX",0,0,32
"25508","LAX",0,0,232
"25509","LAX",0,0,30
"25510","LAX",0,0,78
"25511","LAX",0,0,9
"25512","LAX",0,0,92
"25513","LAX",0,0,6
"25514","LAX",0,0,18
"25515","LAX",0,0,52
"25516","LAX",0,0,16
"25517","LAX",0,0,28
"25518","LAX",0,0,169
"25520","LAX",0,0,34
"25521","LAX",0,0,22
"25522","LAX",0,0,19
"25523","LAX",0,0,55
"25524","LAX",0,0,25
"25525","LAX",0,0,23
"25526","LAX",0,0,40
"25527","LAX",0,0,156
"25528","LAX",0,0,44
"25529","LAX",0,0,201
"25530","LAX",0,0,21
"25531","LAX",0,0,217
"25532","LAX",0,0,155
"26934","LAX",0,0,16
"26935","LAX",0,0,19
"26937","LAX",0,0,34
"26938","LAX",0,0,34
"26940","LAX",0,0,30
"26941","LAX",0,0,17
"26942","LAX",0,0,20
"26944","LAX",0,0,17
"26945","LAX",0,0,26
"26950","LAX",0,0,46
"26951","LAX",0,0,32
"26953","LAX",0,0,52
"26956","LAX",0,0,15
"26957","LAX",0,0,65
"26958","LAX",0,0,12
"26959","LAX",0,0,28
"26960","LAX",0,0,11
"26961","LAX",0,0,9
"26963","LAX",0,0,0
"26964","LAX",0,0,39
"26966","LAX",0,0,35
"26969","LAX",0,0,83
"26973","LAX",0,0,15
"26974","LAX",0,0,43
"26975","LAX",0,0,16
"26976","LAX",0,0,7
"26979","LAX",0,0,18
"26980","LAX",0,0,24
"26981","LAX",0,0,23
"26982","LAX",0,0,13
"26983","LAX",0,0,15
"26985","LAX",0,0,20
"26986","LAX",0,0,22
"26988","LAX",0,0,0
"26990","LAX",0,0,68
"26991","LAX",0,0,30
"26992","LAX",0,0,25
"27885","LAX",6,0,11
"27886","LAX",0,0,0
"27890","LAX",0,0,9
"27892","LAX",0,0,110
"27893","LAX",0,0,0
"27894","LAX",0,0,0
"27895","LAX",0,0,0
"27896","LAX",0,0,4
"27897","LAX",0,0,18
"27898","LAX",0,0,16
"27899","LAX",0,0,17
"27900","LAX",0,0,24
"27901","LAX",0,0,47
"27902","LAX",0,0,23
"28604","LAX",0,0,0
"28608","LAX",0,0,24
"28611","LAX",0,0,0
"29736","LAX",0,0,0
"29737","LAX",0,0,77
"29738","LAX",0,0,4
"29739","LAX",0,0,51
"29741","LAX",0,0,45
"29742","LAX",0,0,46
"29743","LAX",0,0,1
"29744","LAX",0,0,30
"29745","LAX",0,0,24
"29746","LAX",0,0,48
"29749","LAX",0,0,136
"29750","LAX",0,0,81
"29751","LAX",0,0,26
"29752","LAX",0,0,62
"29755","LAX",0,0,49
"29756","LAX",0,0,13
"29757","LAX",0,0,0
"29758","LAX",0,0,32
"29759","LAX",0,0,2
"29760","LAX",0,0,35
"29761","LAX",0,0,52
"29764","LAX",0,0,114
"29765","LAX",0,0,17
"29766","LAX",0,0,43
"29767","LAX",0,0,109
"29769","LAX",0,0,3
"29770","LAX",16,0,60
"29771","LAX",0,0,0
"29772","LAX",0,0,20
"29773","LAX",134,0,18
"29774","LAX",0,0,42
"29775","LAX",0,0,105
"29776","LAX",0,0,81
"29778","LAX",0,0,16
"29779","LAX",0,0,0
"29780","LAX",0,0,100
"29782","LAX",0,0,26
"29784","LAX",0,0,0
"29785","LAX",0,0,110
"29787","LAX",0,0,13
"29790","LAX",0,0,50
"32242","LAX",0,0,15
"32360","LAX",0,0,7
"32363","LAX",0,0,31
"32365","LAX",0,0,12
"32368","LAX",0,0,65
"32375","LAX",0,0,0
"32376","LAX",0,0,19
"32377","LAX",0,0,50
"32378","LAX",0,0,36
"32379","LAX",0,0,71
"32460","LAX",0,0,0
"32461","LAX",0,0,0
"32462","LAX",0,0,0
"32463","LAX",0,0,0
"32464","LAX",0,0,0
"32465","LAX",0,0,0
"32466","LAX",0,0,0
"32467","LAX",9,0,17
"32469","LAX",0,0,8
"32470","LAX",0,0,23
"32472","LAX",0,27,0
"32473","LAX",0,0,34
"32474","LAX",0,0,0
"32475","LAX",0,0,34
"32476","LAX",0,0,0
"32477","LAX",0,0,33
"32478","LAX",0,0,18
"32479","LAX",0,0,105
"32481","LAX",0,0,28
"32486","LAX",0,0,0
"32487","LAX",0,0,0
"32488","LAX",0,0,0
"32492","LAX",0,0,0
"32493","LAX",0,0,41
"32494","LAX",0,0,0
"32495","LAX",0,0,0
"32501","LAX",0,18,21
"32502","LAX",0,0,35
"32503","LAX",0,0,0
"32504","LAX",0,0,50
"32506","LAX",0,0,0
"32507","LAX",0,0,0
"32509","LAX",0,0,0
"32510","LAX",0,0,18
"32511","LAX",0,0,29
"32512","LAX",0,0,0
"32514","LAX",0,0,0
"32516","LAX",0,0,44
"32517","LAX",0,0,0
"32518","LAX",0,0,0
"32519","LAX",0,0,94
"32520","LAX",0,0,107
"32521","LAX",0,0,27
"32523","LAX",0,0,0
